STATION,DATE,TMAX,TMIN,TOBS
GHCND:USR0000CFTC,20100128,-39,-72,-9999
GHCND:USR0000CFTC,20100129,72,-89,-9999
GHCND:USR0000CFTC,20100130,83,-28,-9999
GHCND:USR0000CFTC,20100131,44,-22,-9999
GHCND:USR0000CFTC,20100201,61,-39,-9999
GHCND:USR0000CFTC,20100202,61,-50,-9999
GHCND:USR0000CFTC,20100203,83,-33,-9999
GHCND:USR0000CFTC,20100204,61,-39,-9999
GHCND:USR0000CFTC,20100205,78,-28,-9999
GHCND:USR0000CFTC,20100206,56,-67,-9999
GHCND:USR0000CFTC,20100207,6,-56,-9999
GHCND:USR0000CFTC,20100208,-33,-117,-9999
GHCND:USR0000CFTC,20100209,-44,-122,-9999
GHCND:USR0000CFTC,20100210,61,-133,-9999
GHCND:USR0000CFTC,20100211,56,-44,-9999
GHCND:USR0000CFTC,20100212,78,-67,-9999
GHCND:USR0000CFTC,20100213,83,-22,-9999
GHCND:USR0000CFTC,20100214,-28,-111,-9999
GHCND:USR0000CFTC,20100215,33,-117,-9999
GHCND:USR0000CFTC,20100216,50,-83,-9999
GHCND:USR0000CFTC,20100217,67,-39,-9999
GHCND:USR0000CFTC,20100218,61,-44,-9999
GHCND:USR0000CFTC,20100219,-17,-56,-9999
GHCND:USR0000CFTC,20100220,-44,-61,-9999
GHCND:USR0000CFTC,20100221,-44,-100,-9999
GHCND:USR0000CFTC,20100222,-17,-122,-9999
GHCND:USR0000CFTC,20100223,44,-111,-9999
GHCND:USR0000CFTC,20100224,89,-33,-9999
GHCND:USR0000CFTC,20100225,22,-22,-9999
GHCND:USR0000CFTC,20100226,67,-61,-9999
GHCND:USR0000CFTC,20100227,89,-28,-9999
GHCND:USR0000CFTC,20100228,67,-17,-9999
GHCND:USR0000CFTC,20100301,44,-28,-9999
GHCND:USR0000CFTC,20100302,106,-22,-9999
GHCND:USR0000CFTC,20100303,128,0,-9999
GHCND:USR0000CFTC,20100304,128,6,-9999
GHCND:USR0000CFTC,20100305,72,0,-9999
GHCND:USR0000CFTC,20100306,122,11,-9999
GHCND:USR0000CFTC,20100307,94,-17,-9999
GHCND:USR0000CFTC,20100308,94,11,-9999
GHCND:USR0000CFTC,20100309,106,-11,-9999
GHCND:USR0000CFTC,20100310,72,-28,-9999
GHCND:USR0000CFTC,20100311,50,-44,-9999
GHCND:USR0000CFTC,20100312,144,-28,-9999
GHCND:USR0000CFTC,20100313,133,-6,-9999
GHCND:USR0000CFTC,20100314,6,-17,-9999
GHCND:USR0000CFTC,20100315,89,-22,-9999
GHCND:USR0000CFTC,20100316,156,0,-9999
GHCND:USR0000CFTC,20100317,189,39,-9999
GHCND:USR0000CFTC,20100318,206,6,-9999
GHCND:USR0000CFTC,20100319,0,-89,-9999
GHCND:USR0000CFTC,20100320,44,-117,-9999
GHCND:USR0000CFTC,20100321,139,-39,-9999
GHCND:USR0000CFTC,20100322,178,50,-9999
GHCND:USR0000CFTC,20100323,83,-39,-9999
GHCND:USR0000CFTC,20100324,22,-44,-9999
GHCND:USR0000CFTC,20100325,78,-39,-9999
GHCND:USR0000CFTC,20100326,128,-6,-9999
GHCND:USR0000CFTC,20100327,56,-11,-9999
GHCND:USR0000CFTC,20100328,144,-11,-9999
GHCND:USR0000CFTC,20100329,206,50,-9999
GHCND:USR0000CFTC,20100330,228,111,-9999
GHCND:USR0000CFTC,20100331,194,100,-9999
GHCND:USR0000CFTC,20100401,156,0,-9999
GHCND:USR0000CFTC,20100402,61,-17,-9999
GHCND:USR0000CFTC,20100403,122,-11,-9999
GHCND:USR0000CFTC,20100404,172,0,-9999
GHCND:USR0000CFTC,20100405,172,56,-9999
GHCND:USR0000CFTC,20100406,100,0,-9999
GHCND:USR0000CFTC,20100407,78,-28,-9999
GHCND:USR0000CFTC,20100408,144,-11,-9999
GHCND:USR0000CFTC,20100409,183,44,-9999
GHCND:USR0000CFTC,20100410,156,28,-9999
GHCND:USR0000CFTC,20100411,211,28,-9999
GHCND:USR0000CFTC,20100412,222,56,-9999
GHCND:USR0000CFTC,20100413,167,50,-9999
GHCND:USR0000CFTC,20100414,172,22,-9999
GHCND:USR0000CFTC,20100415,194,67,-9999
GHCND:USR0000CFTC,20100416,83,28,-9999
GHCND:USR0000CFTC,20100417,72,28,-9999
GHCND:USR0000CFTC,20100418,183,6,-9999
GHCND:USR0000CFTC,20100419,172,50,-9999
GHCND:USR0000CFTC,20100420,206,39,-9999
GHCND:USR0000CFTC,20100421,150,50,-9999
GHCND:USR0000CFTC,20100422,172,44,-9999
GHCND:USR0000CFTC,20100423,89,6,-9999
GHCND:USR0000CFTC,20100424,106,17,-9999
GHCND:USR0000CFTC,20100425,178,-17,-9999
GHCND:USR0000CFTC,20100426,78,-22,-9999
GHCND:USR0000CFTC,20100427,178,11,-9999
GHCND:USR0000CFTC,20100428,228,83,-9999
GHCND:USR0000CFTC,20100429,139,0,-9999
GHCND:USR0000CFTC,20100430,83,-17,-9999
GHCND:USR0000CFTC,20100501,100,-6,-9999
GHCND:USR0000CFTC,20100502,94,0,-9999
GHCND:USR0000CFTC,20100503,194,11,-9999
GHCND:USR0000CFTC,20100504,228,89,-9999
GHCND:USR0000CFTC,20100505,156,28,-9999
GHCND:USR0000CFTC,20100506,222,28,-9999
GHCND:USR0000CFTC,20100507,94,-11,-9999
GHCND:USR0000CFTC,20100508,144,0,-9999
GHCND:USR0000CFTC,20100509,233,39,-9999
GHCND:USR0000CFTC,20100510,183,50,-9999
GHCND:USR0000CFTC,20100511,100,28,-9999
GHCND:USR0000CFTC,20100512,100,0,-9999
GHCND:USR0000CFTC,20100513,122,0,-9999
GHCND:USR0000CFTC,20100514,89,22,-9999
GHCND:USR0000CFTC,20100515,167,22,-9999
GHCND:USR0000CFTC,20100516,178,44,-9999
GHCND:USR0000CFTC,20100517,206,61,-9999
GHCND:USR0000CFTC,20100518,211,83,-9999
GHCND:USR0000CFTC,20100519,156,61,-9999
GHCND:USR0000CFTC,20100520,211,61,-9999
GHCND:USR0000CFTC,20100521,239,78,-9999
GHCND:USR0000CFTC,20100522,278,183,-9999
GHCND:USR0000CFTC,20100523,211,83,-9999
GHCND:USR0000CFTC,20100524,183,106,-9999
GHCND:USR0000CFTC,20100525,211,67,-9999
GHCND:USR0000CFTC,20100526,222,89,-9999
GHCND:USR0000CFTC,20100527,300,106,-9999
GHCND:USR0000CFTC,20100528,311,156,-9999
GHCND:USR0000CFTC,20100529,294,106,-9999
GHCND:USR0000CFTC,20100530,194,89,-9999
GHCND:USR0000CFTC,20100531,267,67,-9999
GHCND:USR0000CFTC,20100601,278,128,-9999
GHCND:USR0000CFTC,20100602,217,100,-9999
GHCND:USR0000CFTC,20100603,289,111,-9999
GHCND:USR0000CFTC,20100604,317,167,-9999
GHCND:USR0000CFTC,20100605,300,172,-9999
GHCND:USR0000CFTC,20100606,294,144,-9999
GHCND:USR0000CFTC,20100607,333,161,-9999
GHCND:USR0000CFTC,20100608,233,150,-9999
GHCND:USR0000CFTC,20100609,261,139,-9999
GHCND:USR0000CFTC,20100610,311,167,-9999
GHCND:USR0000CFTC,20100611,233,133,-9999
GHCND:USR0000CFTC,20100612,117,78,-9999
GHCND:USR0000CFTC,20100613,189,78,-9999
GHCND:USR0000CFTC,20100614,156,61,-9999
GHCND:USR0000CFTC,20100615,256,83,-9999
GHCND:USR0000CFTC,20100616,294,117,-9999
GHCND:USR0000CFTC,20100617,300,189,-9999
GHCND:USR0000CFTC,20100618,300,161,-9999
GHCND:USR0000CFTC,20100619,311,172,-9999
GHCND:USR0000CFTC,20100620,322,161,-9999
GHCND:USR0000CFTC,20100621,306,133,-9999
GHCND:USR0000CFTC,20100622,300,178,-9999
GHCND:USR0000CFTC,20100623,278,144,-9999
GHCND:USR0000CFTC,20100624,322,133,-9999
GHCND:USR0000CFTC,20100625,333,156,-9999
GHCND:USR0000CFTC,20100626,294,156,-9999
GHCND:USR0000CFTC,20100627,256,144,-9999
GHCND:USR0000CFTC,20100628,283,122,-9999
GHCND:USR0000CFTC,20100629,283,133,-9999
GHCND:USR0000CFTC,20100630,283,139,-9999
GHCND:USR0000CFTC,20100701,306,133,-9999
GHCND:USR0000CFTC,20100702,289,156,-9999
GHCND:USR0000CFTC,20100703,317,172,-9999
GHCND:USR0000CFTC,20100704,267,117,-9999
GHCND:USR0000CFTC,20100705,267,94,-9999
GHCND:USR0000CFTC,20100706,306,128,-9999
GHCND:USR0000CFTC,20100707,200,117,-9999
GHCND:USR0000CFTC,20100708,200,106,-9999
GHCND:USR0000CFTC,20100709,233,106,-9999
GHCND:USR0000CFTC,20100710,278,156,-9999
GHCND:USR0000CFTC,20100711,300,139,-9999
GHCND:USR0000CFTC,20100712,311,133,-9999
GHCND:USR0000CFTC,20100713,328,206,-9999
GHCND:USR0000CFTC,20100714,306,172,-9999
GHCND:USR0000CFTC,20100715,322,156,-9999
GHCND:USR0000CFTC,20100716,328,189,-9999
GHCND:USR0000CFTC,20100717,344,211,-9999
GHCND:USR0000CFTC,20100718,306,167,-9999
GHCND:USR0000CFTC,20100719,328,178,-9999
GHCND:USR0000CFTC,20100720,289,156,-9999
GHCND:USR0000CFTC,20100721,306,167,-9999
GHCND:USR0000CFTC,20100722,300,178,-9999
GHCND:USR0000CFTC,20100723,289,144,-9999
GHCND:USR0000CFTC,20100724,250,139,-9999
GHCND:USR0000CFTC,20100725,256,133,-9999
GHCND:USR0000CFTC,20100726,311,117,-9999
GHCND:USR0000CFTC,20100727,328,161,-9999
GHCND:USR0000CFTC,20100728,283,156,-9999
GHCND:USR0000CFTC,20100729,306,167,-9999
GHCND:USR0000CFTC,20100730,278,156,-9999
GHCND:USR0000CFTC,20100731,261,144,-9999
GHCND:USR0000CFTC,20100801,289,150,-9999
GHCND:USR0000CFTC,20100802,289,133,-9999
GHCND:USR0000CFTC,20100803,261,133,-9999
GHCND:USR0000CFTC,20100804,272,139,-9999
GHCND:USR0000CFTC,20100805,261,111,-9999
GHCND:USR0000CFTC,20100806,267,133,-9999
GHCND:USR0000CFTC,20100807,289,161,-9999
GHCND:USR0000CFTC,20100808,283,139,-9999
GHCND:USR0000CFTC,20100809,250,156,-9999
GHCND:USR0000CFTC,20100810,272,144,-9999
GHCND:USR0000CFTC,20100811,311,167,-9999
GHCND:USR0000CFTC,20100812,289,189,-9999
GHCND:USR0000CFTC,20100813,294,178,-9999
GHCND:USR0000CFTC,20100814,289,139,-9999
GHCND:USR0000CFTC,20100815,233,139,-9999
GHCND:USR0000CFTC,20100816,239,144,-9999
GHCND:USR0000CFTC,20100817,278,111,-9999
GHCND:USR0000CFTC,20100818,317,172,-9999
GHCND:USR0000CFTC,20100819,289,156,-9999
GHCND:USR0000CFTC,20100820,278,144,-9999
GHCND:USR0000CFTC,20100821,289,161,-9999
GHCND:USR0000CFTC,20100822,322,156,-9999
GHCND:USR0000CFTC,20100823,278,144,-9999
GHCND:USR0000CFTC,20100824,206,106,-9999
GHCND:USR0000CFTC,20100825,250,94,-9999
GHCND:USR0000CFTC,20100826,300,128,-9999
GHCND:USR0000CFTC,20100827,306,189,-9999
GHCND:USR0000CFTC,20100828,306,167,-9999
GHCND:USR0000CFTC,20100829,278,183,-9999
GHCND:USR0000CFTC,20100830,261,167,-9999
GHCND:USR0000CFTC,20100831,261,150,-9999
GHCND:USR0000CFTC,20100901,300,106,-9999
GHCND:USR0000CFTC,20100902,211,94,-9999
GHCND:USR0000CFTC,20100903,228,89,-9999
GHCND:USR0000CFTC,20100904,300,128,-9999
GHCND:USR0000CFTC,20100905,311,200,-9999
GHCND:USR0000CFTC,20100906,278,106,-9999
GHCND:USR0000CFTC,20100907,233,89,-9999
GHCND:USR0000CFTC,20100908,239,128,-9999
GHCND:USR0000CFTC,20100909,278,111,-9999
GHCND:USR0000CFTC,20100910,261,133,-9999
GHCND:USR0000CFTC,20100911,256,100,-9999
GHCND:USR0000CFTC,20100912,278,122,-9999
GHCND:USR0000CFTC,20100913,283,156,-9999
GHCND:USR0000CFTC,20100914,300,172,-9999
GHCND:USR0000CFTC,20100915,294,150,-9999
GHCND:USR0000CFTC,20100916,272,122,-9999
GHCND:USR0000CFTC,20100917,311,139,-9999
GHCND:USR0000CFTC,20100918,278,128,-9999
GHCND:USR0000CFTC,20100919,306,89,-9999
GHCND:USR0000CFTC,20100920,311,167,-9999
GHCND:USR0000CFTC,20100921,289,150,-9999
GHCND:USR0000CFTC,20100922,278,122,-9999
GHCND:USR0000CFTC,20100923,233,128,-9999
GHCND:USR0000CFTC,20100924,256,83,-9999
GHCND:USR0000CFTC,20100925,250,133,-9999
GHCND:USR0000CFTC,20100926,294,89,-9999
GHCND:USR0000CFTC,20100927,289,150,-9999
GHCND:USR0000CFTC,20100928,300,133,-9999
GHCND:USR0000CFTC,20100929,283,117,-9999
GHCND:USR0000CFTC,20100930,206,94,-9999
GHCND:USR0000CFTC,20101001,267,89,-9999
GHCND:USR0000CFTC,20101002,178,50,-9999
GHCND:USR0000CFTC,20101003,256,33,-9999
GHCND:USR0000CFTC,20101004,261,100,-9999
GHCND:USR0000CFTC,20101005,256,128,-9999
GHCND:USR0000CFTC,20101006,211,117,-9999
